Item Code,CPC Code,Item
101,'01195,Canary seed
1016,'02123,Goats
1017,'21116,Meat; goat
1018,'21156,Offals; edible; goats
1019,'21515,Fat; goats
1020,'02292,Milk; whole fresh goat
1021,'22254,Cheese; goat milk
1022,'22249.02,Butter; goat milk
1025,'02954,Skins; goat; fresh
103,'01199.02,Grain; mixed
1034,'02140,Pigs
1035,'21113.01,Meat; pig
1036,'21153,Offals; pigs; edible
1037,'21511.01,Fat; pigs
1043,'21521,Lard
1057,'02151,Chickens
1058,'21121,Meat; chicken
1062,'0231,Eggs; hen; in shell
1068,'02154,Ducks
1069,'21122,Meat; duck
1072,'02153,Geese and guinea fowls
1073,'21123,Meat; goose and guinea fowl
1079,'02152,Turkeys
108,'01199.90,Cereals nes
1080,'21124,Meat; turkey
1083,'02194,Pigeons; other birds
1089,'21170.01,Meat; bird nes
1091,'0232,Eggs; other bird; in shell
1096,'02131,Horses
1097,'21118.01,Meat; horse
1098,'21159.01,Offals; horses
1107,'02132,Asses
1108,'21118.02,Meat; ass
1110,'02133,Mules
1111,'21118.03,Meat; mule
1126,'02121.01,Camels
1127,'21117.01,Meat; camel
1128,'21159.02,Offals; edible; camels
1129,'21519.02,Fat; camels
1130,'02293,Milk; whole fresh camel
1140,'02191,Rabbits and hares
1141,'21114,Meat; rabbit
1150,'02192.01,Rodents; other
1151,'21119.01,Meat; other rodents
1157,'02121.02,Camelids; other
1158,'21117.02,Meat; other camelids
116,'01510,Potatoes
1163,'21170.02,Meat; game
1166,'21170.92,Meat nes
1176,'02920,Snails; not sea
1181,'02196,Beehives
1182,'02910,Honey; natural
1183,'02960.01,Beeswax
1185,'02944,Silk-worm cocoons; reelable
1186,'26110,Silk; raw
122,'01530,Sweet potatoes
1225,'21523,Tallow
1242,'21700.02,Margarine; short
125,'01520.01,Cassava
135,'01591,Yautia (cocoyam)
136,'01550,Taro (cocoyam)
137,'01540,Yams
149,'01599.10,Roots and tubers nes
15,'0111,Wheat
156,'01802,Sugar cane
157,'01801,Sugar beet
161,'01809,Sugar crops nes
162,'2351f,Sugar Raw Centrifugal
165,'23540,Molasses
1714,'F1714,Crops Primary
1717,'F1717,Cereals; Total
1720,'F1720,Roots and Tubers; Total
1723,'F1723,Sugar Crops Primary
1726,'F1726,Pulses; Total
1729,'F1729,Treenuts; Total
1730,'F1730,Oilcrops Primary
1732,'F1732,Oilcrops; Oil Equivalent
1735,'F1735,Vegetables Primary
1738,'F1738,Fruit Primary
1745,'F1745,Cheese (All Kinds)
1746,'F1746,Cattle and Buffaloes
1749,'F1749,Sheep and Goats
1753,'F1753,Fibre Crops Primary
1756,'F1756,Live Animals
176,'01701,Beans; dry
1765,'F1765,Meat; Total
1777,'F1777,Hides and skins; primary
